code	option	question	Id
1	电视机遥控器	Q1	1
2	DVD／VCD遥控器	Q1	2
3	空调遥控器	Q1	3
4	电扇遥控器	Q1	4
5	音响遥控器	Q1	5
6	机顶盒遥控器	Q1	6
7	(无轨道)遥控玩具	Q1	7
8	(有轨道)遥控玩具	Q1	8
9	电动娃娃／电动小动物	Q1	9
10	其他电动玩具	Q1	10
11	LED手电筒	Q1	11
12	普通灯珠手电筒	Q1	12
13	台灯	Q1	13
14	闹钟	Q1	14
15	挂钟／座钟	Q1	15
16	CD机／磁带播放器／随身听	Q1	16
17	复读机／学习机／点读机／游戏机	Q1	17
18	MP3／MP4／MP5	Q1	18
19	收音机	Q1	19
20	电子词典／文曲星	Q1	20
21	掌上电脑／个人数码助理	Q1	21
22	无线鼠标	Q1	22
23	电动牙刷	Q1	23
24	数码相机	Q1	24
25	胶卷相机	Q1	25
26	相机闪光灯	Q1	26
27	燃气灶	Q1	27
28	热水器	Q1	28
29	门铃	Q1	29
30	摄像机	Q1	30
31	电动剃须刀	Q1	31
32	电话机(不含手机)	Q1	32
33	按摩器	Q1	33
34	电子血压计	Q1	34
35	燃气表／煤气表	Q1	35
36	鼻炎光疗仪	Q1	36
37	念佛机	Q1	37
38	电子称	Q1	38
39	万年历	Q1	39
40	万用表	Q1	40
41	冰淇淋机	Q1	41
42	胎教机	Q1	42
43	艾纳基美肤洁面仪	Q1	43
44	计算器	Q1	44
45	眼保仪	Q1	45
46	话筒	Q1	46
47	空调扇	Q1	47
48	毛球修剪器	Q1	48
49	太阳能报警器	Q1	49
50	油烟机	Q1	50
51	血糖仪	Q1	51
52	电蚊拍	Q1	52
54	煤气灶点火枪	Q1	53
56	鼻毛修剪器	Q1	54
57	感应垃圾桶	Q1	55
58	高磁自来水器	Q1	56
59	电推子	Q1	57
60	扬声器	Q1	58
61	加湿喷雾器	Q1	59
62	节拍器	Q1	60
63	应急灯	Q1	61
64	手持式电动缝纫机	Q1	62
65	湿度表	Q1	63
66	录音笔	Q1	64
67	小风扇	Q1	65
68	电动梳	Q1	66
69	水表	Q1	67
70	无线耳机	Q1	68
71	搅拌棒	Q1	69
72	暖手宝	Q1	70
73	灯遥控器	Q1	71
74	水位报警器	Q1	72
75	冰箱卫士	Q1	73
76	挖耳勺	Q1	74
77	多功能遥控器	Q1	75
78	冷汽机遥控器	Q1	76
79	热风机遥控器	Q1	77
80	热风机	Q1	78
81	无线键盘	Q1	79
82	计数器	Q1	80
83	按摩梳	Q1	81
84	光电治疗仪	Q1	82
85	电子表	Q1	83
86	取暖器	Q1	84
87	睡眠仪	Q1	85
88	汽车防盗锁	Q1	86
89	水表遥控器	Q1	87
90	温度计	Q1	88
91	自行车大灯	Q1	89
93	便携式DVD	Q1	90
94	学步车	Q1	91
95	洗脚盆	Q1	92
96	便携式工具	Q1	93
98	户户通	Q1	94
99	探照器	Q1	95
100	热水器遥控器	Q1	96
101	冷汽机	Q1	97
102	壁挂炉	Q1	98
103	电暖炉	Q1	99
105	拼音挂图	Q1	100
106	电子琴	Q1	101
107	手拍鼓	Q1	102
108	电转铃	Q1	103
109	电子小汽车	Q1	104
110	婴儿理发器	Q1	105
111	数码经络理疗仪	Q1	106
112	早教机	Q1	107
113	故事机	Q1	108
114	灯笼	Q1	109
115	股票机	Q1	110
116	吸顶灯	Q1	111
117	水晶灯	Q1	112
118	汽车摇控器	Q1	113
119	帐棚灯	Q1	114
120	头灯	Q1	115
121	小提琴	Q1	116
122	饮水桶泵	Q1	117
123	耳麦遥控器	Q1	118
124	转法轮	Q1	119
125	电动锯	Q1	120
126	架子鼓	Q1	121
127	电位治疗仪	Q1	122
129	赛车尾灯	Q1	123
130	剃毛器	Q1	124
131	扩音机	Q1	125
132	电子摆设(招财猫)	Q1	126
133	音乐盒	Q1	127
134	空气净化器	Q1	128
135	功效机	Q1	129
136	物理光学器械	Q1	130
137	校音器	Q1	131
138	助听器	Q1	132
139	收录机	Q1	133
140	电视接收器	Q1	134
141	降压仪	Q1	135
142	吊灯	Q1	136
144	美容仪	Q1	137
146	投影仪	Q1	138
147	照明灯	Q1	139
148	硬盘遥控器	Q1	140
149	暖气流量表	Q1	141
150	供热表	Q1	142
151	鱼缸	Q1	143
153	吸尘器	Q1	144
154	卫星电视遥控器	Q1	145
155	三高仪治疗器	Q1	146
156	燃气表遥控器	Q1	147
158	耳机	Q1	148
159	笔筒盒	Q1	149
160	镜面灯	Q1	150
161	脉搏血氧仪	Q1	151
164	定时器	Q1	152
166	吹风机	Q1	153
167	治疗提醒器	Q1	154
168	冰箱钟	Q1	155
169	美容工具	Q1	156
170	血仪通	Q1	157
171	保险柜	Q1	158
173	对讲机	Q1	159
174	报警器	Q1	160
175	抽水机	Q1	161
176	卷帘门	Q1	162
177	小夜灯	Q1	163
178	自行车喇叭	Q1	164
179	水平仪	Q1	165
180	灭蚊器	Q1	166
181	门锁	Q1	167
182	儿童坐便器	Q1	168
1	是	Q2	169
2	否	Q2	170
1	1号电池(D)	Q3	171
2	2号电池(C)	Q3	172
3	5号电池(AA)	Q3	173
4	7号电池(AAA)	Q3	174
5	9伏电池(9V)	Q3	175
6	18650锂电池(18650)	Q3	176
7	纽扣电池	Q3	
1	是	Q5	177
2	否	Q5	178
1	555	Q6_1	179
2	白象	Q6_1	180
3	豹王	Q6_1	181
